identifiantReferentiel,titre,unite,titreCourt,titreLong,parents,categories,thematiques,actionIds,valeurCalcule,participationScore,sansValeurUtilisateur,borneMin,borneMax,precision,description,exprCible,exprSeuil,libelleCibleSeuil
cae_3.al,Production d’énergie renouvelable - Thermique - Géothermie de surface et aérothermie (PAC),MWh,Thermique - Géothermie de surface et aérothermie (PAC),Production d’énergie renouvelable thermique filière Géothermie de surface et aérothermie (PAC),cae_3.a,"cae, vecteur_filiere, clef",energie_et_climat,,,FALSE,FALSE,,,2,,,,
cae_3.am,Production d’énergie renouvelable - Thermique - Géothermie de surface (PAC),MWh,Thermique - Géothermie de surface (PAC),Production d’énergie renouvelable thermique filière Géothermie de surface (PAC),cae_3.a,"cae, vecteur_filiere, clef",energie_et_climat,,,FALSE,FALSE,,,2,,,,
cae_3.an,Production d’énergie renouvelable - Thermique - Aérothermie (PAC),MWh,Thermique - Aérothermie (PAC),Production d’énergie renouvelable thermique filière Aérothermie (PAC),cae_3.a,"cae, vecteur_filiere, clef",energie_et_climat,,,FALSE,FALSE,,,2,,,,
cae_3.ao,Production d’énergie renouvelable - Thermique - Incinération des déchets,MWh,Thermique - Déchets,Production d’énergie renouvelable thermique filière Incinération des déchets,cae_3.a,"cae, vecteur_filiere, clef",energie_et_climat,,,FALSE,FALSE,,,2,,,,
cae_3.ap,Production d’énergie renouvelable - Thermique - Autre filière,MWh,Thermique - Autre,Production d’énergie renouvelable thermique autre filière,cae_3.a,"cae, vecteur_filiere",energie_et_climat,,,FALSE,FALSE,,,2,Cet indicateur est spécifique à certains EPCIs.,,,
cae_3.aq,Production d’énergie renouvelable - Electrique - Hydrolien,MWh,Electrique - Hydrolien,Production d’énergie renouvelable électrique filière hydrolien,cae_3.a,"cae, vecteur_filiere, filiere",energie_et_climat,,,FALSE,FALSE,,,2,Cet indicateur est spécifique à deux EPCIs.,,,
cae_3.ar,Production d’énergie renouvelable - Filière - Méthanisation,MWh,Méthanisation,Production d’énergie renouvelable filière méthanisation,cae_3.a,"cae, filiere",energie_et_climat,,opt_val(cae_3.aa)+opt_val(cae_3.af)+opt_val(cae_3.c),FALSE,FALSE,,,,,,,
cae_3.as,Production d’énergie renouvelable - Filière - Biomasse solide,MWh,Biomasse solide,Production d’énergie renouvelable filière biomasse solide,cae_3.a,"cae, filiere",energie_et_climat,,opt_val(cae_3.ab)+opt_val(cae_3.ag),FALSE,FALSE,,,,,,,
cae_3.at,Production d’énergie renouvelable - Filière - Géothermie,MWh,Géothermie,Production d’énergie renouvelable filière Géothermie,cae_3.a,"cae, filiere",energie_et_climat,,,FALSE,FALSE,,,,,,,
cae_3.au,Production d’énergie renouvelable - Filière - PAC,MWh,PAC,Production d’énergie renouvelable filière Pompes à chaleur,cae_3.a,"cae, filiere",energie_et_climat,,,FALSE,FALSE,,,,,,,
cae_3.av,Production d’énergie renouvelable - Filière - Incinération des déchets,MWh,Incinération des déchets,Production d’énergie renouvelable filière  Incinération des déchets,cae_3.a,"cae, filiere",energie_et_climat,,opt_val(cae_3.ae)+opt_val(cae_3.ao),FALSE,FALSE,,,,,,,
cae_3.b,Part de la production d’énergie renouvelable sur la consommation énergétique,%,,Part de la production d’énergie renouvelable globale du territoire sur la consommation énergétique globale,,"cae, clef",energie_et_climat,cae_1.1.1,val(cae_3.a)/1000/val(cae_2.a)*100,FALSE,FALSE,,,2,"Cet indicateur mesure la production d’énergie renouvelable totale sur le territoire ramené à la consommation énergétique globale du territoire.
Objectif 2030 défini par la loi Energie-Climat de 2019 : 33%",,,Objectifs définis par la loi Énergie–Climat de 2019
cae_3.c,Production d’énergie renouvelable - Gaz - Méthanisation,MWh,Gaz - Méthanisation,Production d’énergie renouvelable - injection de gaz nette générée par les installations du territoire filière méthanisation,cae_3.a,"cae, vecteur, vecteur_filiere, clef",energie_et_climat,,,FALSE,FALSE,,,2,,,,
cae_30,Consommation d'engrais des espaces verts,kg/m2,,Consommation annuelle d'engrais pour les espaces verts,,cae,urbanisme_et_amenagement,cae_3.3.4,,FALSE,FALSE,,,2,"L'objectif est de mesurer les efforts de la collectivité en matière de limitation des engrais sur ses espaces verts. La quantité annuelle d'engrais apportée est divisée par la surface d'espaces verts gérés par la collectivité.

La collectivité peut suivre un autre indicateur en fonction des produits employés et du calcul de la collectivité : unité d'azote/m2,litre/m2, euros/m2... (à créer dans les indicateurs personnalisés et à relier à cet indicateur)",,,
cae_31,Consommation d'eau des espaces verts,m³/m²,,Consommation annuelle d'eau pour l'arrosage des espaces verts,,cae,urbanisme_et_amenagement,cae_3.3.4,,FALSE,FALSE,,,2,"L'objectif est de mesurer les efforts de la collectivité en matière de limitation des consommations d'eau pour l'arrosage de ses espaces verts. Le volume annuel d'eau est divisé par la surface d'espaces verts gérés par la collectivité. L'unité de l'indicateur est en m³ /m². Les espaces verts sont entendus au sens large, à savoir : parcs et jardins, espaces sportifs végétalisés, ronds-points ou accotement enherbées de la compétence de la collectivité.",,,
