,nom,siren,nature
1357,Syndicat de la région de Montereau-Fault-Yonne pour le traitement des ordures ménagères (SIRMOTOM),257701748,SMF
1358,SM pour l'enlèvement et le traitement des ordures ménagères de la vallée du Loing,257703389,SMF
1359,SMF enlèvement et traitement des ordures ménagères de la région de Tournan-en-Brie,257703546,SMF
1360,SM de traitement des ordures ménagères et assimilées du centre Ouest seine et marnais (SMITOMCO),257705277,SMF
1361,SMF Est Seine-et-Marne pour le traitement des ordures ménagères (SMETOM-GEEODE),257705293,SMF
1362,Syndicat de traitement des déchets ménagers (SYTRADEM du Sud Est Seine-et-Marne),257705574,SMF
1363,SMO traitement des ordures ménagères du Nord Seine et Marne,257704916,SMO
1364,CU Grand Paris Seine et Oise,200059889,CU
1365,CA Saint Germain Boucles de Seine,200058519,CA
1366,CA de Saint Quentin en Yvelines,200058782,CA
1367,CA Rambouillet Territoires,200073344,CA
1368,CA Versailles Grand Parc (CAVGP),247800584,CA
1369,CC de la Haute Vallée de Chevreuse,200033173,CC
1370,CC Gally Mauldre,200034130,CC
1371,CC Les Portes de l'Ile de France,200071074,CC
1372,CC du Pays Houdanais (CCPH),247800550,CC
1373,CC Coeur d'Yvelines,247800618,CC
1374,VALOSEINE,200062461,SMF
1375,SI d'évacuation et d'élimination des déchets de l'Ouest Yvelines (SIEED),257800300,SMF
1376,SI pour la destruction des ordures ménagères et la production d'énergie (SIDOMPE),257800375,SMF
1377,SI pour le traitement des résidus urbains de la Boucle de la Seine,257800656,SMF
1378,SI de collecte et de traitement des ordures ménagères de la région de Rambouillet (SICTOM),257801290,SMF
1379,CA du Bocage Bressuirais,200040244,CA
1380,CA du Niortais,200041317,CA
1381,CC de Parthenay-Gâtine,200041333,CC
1382,CC Airvaudais-Val du Thouet,200041416,CC
1383,CC Haut Val de Sèvre,200041994,CC
1384,CC Val de Gâtine,200069748,CC
1385,CC Mellois en Poitou,200069755,CC
1386,CC du Thouarsais,247900798,CC
1387,SI d'énergie des Deux-Sèvres (SIEDS),200091049,SMF
1388,SM à la carte du Haut Val de Sèvre et Sud Gâtine,257902353,SMF
1389,SM de traitement et d'élimination des déchets des Deux-Sèvres (SMITED),257902296,SMO
1390,CA de la Baie de Somme,200070993,CA
1391,CA Amiens Métropole,248000531,CA
1392,CC de la Haute Somme (Combles - Péronne - Roisel),200037059,CC
1393,CC Terre de Picardie,200070928,CC
1394,CC Ponthieu-Marquenterre,200070936,CC
1395,CC du Vimeu,200070944,CC
1396,CC du Territoire Nord Picardie,200070951,CC
1397,CC Avre Luce Noye,200070969,CC
1398,CC du Grand Roye,200070977,CC
1399,CC de l'Est de la Somme,200070985,CC
1400,CC Somme Sud-Ouest,200071181,CC
1401,CC Nièvre et Somme,200071223,CC
1402,CC du Val de Somme,248000499,CC
1403,CC du Pays du Coquelicot,248000747,CC
1404,SIVOM d'Ault,248000051,SIVOM
1405,SIVOM de Gamaches,248000143,SIVOM
1406,SMIRTOM du plateau picard Nord,200044378,SMF
1407,TRINOVAL,258002344,SMF
1408,SMITOM du Santerre,258004571,SMF
1409,Pôle Métropolitain du Grand Amiénois,200082063,POLEM
1410,CA Gaillac-Graulhet,200066124,CA
1411,CA de Castres Mazamet,248100430,CA
1412,CA de l'Albigeois (C2A),248100737,CA
1413,CC Tarn-Agout,200034023,CC
1414,CC des Monts d'Alban et du Villefranchois,200034031,CC
1415,CC Centre Tarn,200034049,CC
1416,CC du Lautrécois et du Pays d'Agout,200034056,CC
1417,CC du Cordais et du Causse (4 C),200034064,CC
1418,CC Carmausin-Ségala,200040905,CC
1419,CC des Monts de Lacaune et de la Montagne du Haut Languedoc,200066553,CC
1420,CC Sidobre Vals et Plateaux,200066561,CC
1421,CC du Sor et de l'Agout,248100158,CC
1422,CC Val 81,248100497,CC
1423,CC Thoré Montagne Noire,248100745,CC
1424,SICTOM secteur Valence Valderiès,200073807,SMF
1425,SM pour la collecte et le traitement des ordures ménagères de la région de Lavaur,200075711,SMF
1426,Pôle territorial de l'Albigeois et des Bastides,200049161,PETR
1427,CA Grand Montauban,248200099,CA
1428,CC du Pays de Serres en Quercy,200040418,CC
1429,CC Terres des Confluences,200066322,CC
1430,CC Grand Sud Tarn et Garonne,200066652,CC
1431,CC Quercy Vert-Aveyron,200066884,CC
1432,CC Coteaux et Plaines du Pays Lafrançaisain,200067122,CC
1433,CC des Deux Rives,248200016,CC
1434,CC du Quercy Caussadais,248200057,CC
1435,CC de la Lomagne Tarn-et-Garonnaise,248200065,CC
1436,CC du Quercy Rouergue et des Gorges de l'Aveyron,248200107,CC
1437,SM enlèvement et élimination des ordures ménagères groupement moyenne Garonne,258200658,SMF
1438,SM d'enlèvement et d'élimination des ordures ménagères du Sud-Quercy,258200856,SMF
